customerID,Region,Monthly tax,TotalCharges
7410-OIEDU,APJC,266.205,887.35
2273-QCKXA,USA,14.715,49.05
0731-EBJQB,GC,327.195,1090.65
1891-QRQSA,EMEA,2129.7,7099
8028-PNXHQ,APJC,427.38,1424.6
5630-AHZIL,USA,53.22,177.4
2673-CXQEU,GC,1841.85,6139.5
6416-JNVRK,EMEA,806.655,2688.85
5590-ZSKRV,APJC,144.675,482.25
0191-ZHSKZ,USA,633.39,2111.3
3887-PBQAO,GC,364.98,1216.6
5919-TMRGD,EMEA,23.805,79.35
8108-UXRQN,APJC,169.605,565.35
9191-MYQKX,USA,149.07,496.9
9919-YLNNG,GC,1298.25,4327.5
0318-ZOPWS,EMEA,292.005,973.35
4445-ZJNMU,APJC,275.625,918.75
4808-YNLEU,USA,664.635,2215.45
1862-QRWPE,GC,317.1,1057
2796-NNUFI,EMEA,278.13,927.1
3016-KSVCP,APJC,302.775,1009.25
4767-HZZHQ,USA,771.06,2570.2
2424-WVHPL,GC,22.41,74.7
7233-PAHHL,EMEA,1714.275,5714.25
6067-NGCEU,APJC,2132.1,7107
9848-JQJTX,USA,2237.715,7459.05
8637-XJIVR,GC,278.205,927.35
9803-FTJCG,EMEA,1424.61,4748.7
0278-YXOOG,APJC,34.155,113.85
3212-KXOCR,USA,332.16,1107.2
4598-XLKNJ,GC,754.35,2514.5
6380-ARCEH,EMEA,6.06,20.2
3679-XASPY,APJC,5.835,19.45
7123-WQUHX,USA,1081.68,3605.6
5386-THSLQ,GC,908.175,3027.25
3192-NQECA,EMEA,2283.555,7611.85
6180-YBIQI,APJC,30.06,100.2
6728-DKUCO,USA,2190.915,7303.05
9750-BOOHV,GC,278.295,927.65
8597-CWYHH,EMEA,1176.39,3921.3
2848-YXSMW,APJC,408.975,1363.25
0486-HECZI,USA,1571.67,5238.9
4549-ZDQYY,GC,912.675,3042.25
5712-AHQNN,EMEA,1186.23,3954.1
4846-WHAFZ,APJC,860.445,2868.15
5256-SKJGO,USA,1027.05,3423.5
3071-VBYPO,GC,74.52,248.4
9560-BBZXK,EMEA,337.905,1126.35
5299-RULOA,APJC,319.395,1064.65
8402-OOOHJ,USA,250.545,835.15
9445-ZUEQE,GC,645.48,2151.6
1091-SOZGA,EMEA,1654.635,5515.45
2928-HLDBA,APJC,33.825,112.75
0404-SWRVG,USA,68.865,229.55
6497-TILVL,GC,105.105,350.35
7219-TLZHO,EMEA,18.87,62.9
4622-YNKIJ,APJC,908.295,3027.65
4412-YLTKF,USA,640.65,2135.5
6734-PSBAW,GC,517.185,1723.95
3930-ZGWVE,EMEA,5.925,19.75
2639-UGMAZ,APJC,1195.605,3985.35
2876-GZYZC,USA,364.695,1215.65
6207-WIOLX,GC,450.795,1502.65
8587-XYZSF,EMEA,978.03,3260.1
3091-FYHKI,APJC,10.635,35.45
2372-HWUHI,USA,24.375,81.25
7799-LGRDP,GC,356.46,1188.2
7850-VWJUU,EMEA,533.55,1778.5
3774-VBNXY,APJC,383.325,1277.75
6217-KDYWC,USA,351.165,1170.55
0390-DCFDQ,GC,21.135,70.45
3146-MSEGF,EMEA,1927.695,6425.65
4080-OGPJL,APJC,169.095,563.65
1095-WGNGG,USA,1791.375,5971.25
2636-SJDOU,GC,1586.715,5289.05
1131-QQZEB,EMEA,526.86,1756.2
5716-EZXZN,APJC,1925.01,6416.7
6837-BJYDQ,USA,18.405,61.35
2135-RXIHG,GC,13.695,45.65
6440-DKQGE,EMEA,578.985,1929.95
3466-BYAVD,APJC,321.42,1071.4
3780-YVMFA,USA,169.305,564.35
3874-EQOEP,GC,196.65,655.5
1679-JRFBR,EMEA,2379.165,7930.55
9073-ZZIAY,APJC,1564.575,5215.25
3077-RSNTJ,USA,34.05,113.5
6551-GNYDG,GC,345.84,1152.8
9167-APMXZ,EMEA,546.585,1821.95
2749-CTKAJ,APJC,125.97,419.9
6371-NZYEG,USA,307.2,1024
7554-NEWDD,GC,75.48,251.6
8992-VONJD,EMEA,229.365,764.55
0867-MKZVY,APJC,477.705,1592.35
4482-EWFMI,USA,40.56,135.2
4648-YPBTM,GC,1187.475,3958.25
2907-ILJBN,EMEA,70.17,233.9
6345-FZOQH,APJC,409.035,1363.45
3376-BMGFE,USA,81.9,273
5997-OPVFA,GC,1876.335,6254.45
3445-HXXGF,EMEA,795.36,2651.2
1159-WFSGR,APJC,96.42,321.4
7654-YWJUF,USA,1061.775,3539.25
1875-QIVME,GC,72.84,242.8
6727-IOTLZ,EMEA,354.525,1181.75
0691-JVSYA,APJC,1500.06,5000.2
5918-VUKWP,USA,196.365,654.55
1744-JHKYS,GC,234.06,780.2
2656-FMOKZ,EMEA,343.71,1145.7
2070-FNEXE,APJC,151.08,503.6
5947-SGKCL,USA,467.775,1559.25
3712-PKXZA,GC,375.6,1252
6317-YPKDH,EMEA,8.985,29.95
6582-OIVSP,APJC,13.59,45.3
9367-WXLCH,USA,198.795,662.65
5524-KHNJP,GC,735.99,2453.3
1918-ZBFQJ,EMEA,333.495,1111.65
1024-GUALD,APJC,7.44,24.8
4827-USJHP,USA,307.155,1023.85
8167-GJLRN,GC,24.645,82.15
0956-SYCWG,EMEA,73.44,244.8
8017-UVSZU,APJC,713.73,2379.1
7100-FQPRV,USA,952.005,3173.35
2472-OVKUP,GC,159.3,531
2984-RGEYA,EMEA,412.62,1375.4
9680-NIAUV,APJC,2438.79,8129.3
2146-EGVDT,USA,357.81,1192.7
2604-IJPDU,GC,570.495,1901.65
9178-JHUVJ,EMEA,176.22,587.4
6168-YBYNP,APJC,1955.925,6519.75
7255-SSFBC,USA,2412.495,8041.65
3645-DEYGF,GC,6.225,20.75
9323-HGFWY,EMEA,804.345,2681.15
8544-GOQSH,APJC,333.69,1112.3
3363-DTIVD,USA,2221.65,7405.5
7018-WBJNK,GC,310.185,1033.95
9142-KZXOP,EMEA,887.685,2958.95
7674-YTAFD,APJC,805.455,2684.85
6348-SNFUS,USA,1253.76,4179.2
1285-OKIPP,GC,23.97,79.9
7825-ECJRF,EMEA,580.335,1934.45
1347-KTTTA,APJC,1996.23,6654.1
7841-TZDMQ,USA,25.35,84.5
4195-NZGTA,GC,7.575,25.25
7157-SMCFK,EMEA,337.26,1124.2
4709-LKHYG,APJC,162.015,540.05
2504-DSHIH,USA,592.755,1975.85
0699-NDKJM,GC,1031.235,3437.45
9286-BHDQG,EMEA,941.94,3139.8
0230-WEQUW,APJC,1136.76,3789.2
2040-LDIWQ,USA,1597.35,5324.5
6496-JDSSB,GC,187.38,624.6
9408-SSNVZ,EMEA,80.505,268.35
4443-EMBNA,APJC,551.07,1836.9
6469-MRVET,USA,6.06,20.2
0742-MOABM,GC,53.805,179.35
5961-VUSRV,EMEA,65.805,219.35
6778-JFCMK,APJC,386.625,1288.75
6341-JVQGF,USA,763.725,2545.75
2232-DMLXU,GC,16.56,55.2
4811-JBUVU,EMEA,816.945,2723.15
0945-TSONX,APJC,1232.175,4107.25
2651-ZCBXV,USA,1728.195,5760.65
3316-UWXUY,GC,1424.25,4747.5
8937-RDTHP,EMEA,25.38,84.6
7083-MIOPC,APJC,470.07,1566.9
1984-GPTEH,USA,210.6,702
1251-KRREG,GC,34.23,114.1
0621-JFHOL,EMEA,89.715,299.05
9903-LYSAB,APJC,391.785,1305.95
0094-OIFMO,USA,336.09,1120.3
9227-UAQFT,GC,85.305,284.35
7301-ABVAD,EMEA,1905.15,6350.5
6614-FHDBO,APJC,2363.49,7878.3
7576-ASEJU,USA,956.295,3187.65
9058-HRZSV,GC,1837.845,6126.15
4522-AKYLR,EMEA,219.39,731.3
0221-WMXNQ,APJC,82.02,273.4
0303-UNCIP,USA,759.54,2531.8
9947-OTFQU,GC,322.29,1074.3
0322-YINQP,EMEA,14.565,48.55
0959-WHOKV,APJC,1289.535,4298.45
4075-JFPGR,USA,1385.865,4619.55
4629-NRXKX,GC,44.145,147.15
9514-JDSKI,EMEA,12.06,40.2
3282-ZISZV,APJC,789.99,2633.3
3675-YDUPJ,USA,57.915,193.05
4111-BNXIF,GC,1231.17,4103.9
7017-VFHAY,EMEA,2102.445,7008.15
6655-LHBYW,APJC,1737.33,5791.1
4959-JOSRX,USA,24.165,80.55
5046-NUHWD,GC,368.595,1228.65
7273-TEFQD,EMEA,39.66,132.2
3606-TWKGI,APJC,409.29,1364.3
7529-ZDFXI,USA,1477.605,4925.35
7605-BDWDC,GC,456.03,1520.1
1950-KSVVJ,EMEA,1509.675,5032.25
0123-CRBRT,APJC,1658.025,5526.75
6292-TOSSS,USA,358.575,1195.25
3197-ARFOY,GC,602.175,2007.25
6323-AYBRX,EMEA,329.88,1099.6
7014-ZZXAW,APJC,519.885,1732.95
4385-GZQXV,USA,453.36,1511.2
7633-MVPUY,GC,1035.045,3450.15
6366-ZGQGL,EMEA,7.44,24.8
4716-HHKQH,APJC,651.615,2172.05
5940-AHUHD,USA,21.18,70.6
6432-TWQLB,GC,120.33,401.1
4484-GLZOU,EMEA,1687.455,5624.85
3179-GBRWV,APJC,401.94,1339.8
8645-KWHJO,USA,231.585,771.95
4130-MZLCC,GC,73.425,244.75
0314-TKOSI,EMEA,96.87,322.9
8229-MYEJZ,APJC,149.475,498.25
2080-SRCDE,USA,7.62,25.4
9577-WJVCQ,GC,1106.325,3687.75
9512-UIBFX,EMEA,533.985,1779.95
6202-DYYFX,APJC,535.08,1783.6
3808-HFKDE,USA,278.145,927.15
5583-SXDAG,GC,21,70
3488-PGMQJ,EMEA,181.965,606.55
3580-REOAC,APJC,130.62,435.4
7534-BFESC,USA,513.81,1712.7
3727-OWVYD,GC,606.36,2021.2
2294-SALNE,EMEA,582.24,1940.8
4847-TAJYI,APJC,170.34,567.8
1563-IWQEX,USA,66.105,220.35
8203-XJZRC,GC,6.075,20.25
6556-DBKZF,EMEA,1630.935,5436.45
6851-WEFYX,APJC,1031.25,3437.5
2985-JUUBZ,USA,904.725,3015.75
6390-DSAZX,GC,22.08,73.6
0895-LMRSF,EMEA,452.94,1509.8
8098-LLAZX,APJC,118.83,396.1
8266-VBFQL,USA,106.995,356.65
8181-YHCMF,GC,1232.7,4109
2240-HSJQD,EMEA,942.51,3141.7
1248-DYXUB,APJC,368.73,1229.1
0265-EDXBD,USA,691.005,2303.35
4115-BNPJY,GC,616.32,2054.4
3167-SNQPL,EMEA,1122.555,3741.85
4091-TVOCN,APJC,1104.735,3682.45
1098-TDVUQ,USA,5.775,19.25
7277-OZCGZ,GC,565.875,1886.25
1557-EMYVT,EMEA,1468.53,4895.1
2799-ARNLO,APJC,102.48,341.6
7563-BIUPC,USA,124.665,415.55
5027-YOCXN,GC,1705.92,5686.4
3973-SKMLN,EMEA,406.53,1355.1
2321-OMBXY,APJC,917.595,3058.65
2840-XANRC,USA,669.315,2231.05
6745-JEFZB,GC,970.905,3236.35
5020-ZSTTY,EMEA,1305.03,4350.1
9880-TDQAC,APJC,1279.2,4264
8705-WZCYL,USA,13.44,44.8
7102-JJVTX,GC,126.69,422.3
8626-PTQGE,EMEA,1253.01,4176.7
4983-CLMLV,APJC,1541.43,5138.1
5701-YVSVF,USA,264.015,880.05
5804-LEPIM,GC,41.715,139.05
5697-GOMBF,EMEA,292.095,973.65
2739-CACDQ,APJC,441.015,1470.05
9385-EHGDO,USA,221.805,739.35
9498-FIMXL,GC,48.585,161.95
2379-GYFLQ,EMEA,1326.885,4422.95
0122-OAHPZ,APJC,153.375,511.25
2868-SNELZ,USA,46.74,155.8
4322-RCYMT,GC,1588.185,5293.95
6680-NENYN,EMEA,1427.955,4759.85
2088-IEBAU,APJC,1844.535,6148.45
7982-VCELR,USA,1069.695,3565.65
1343-EHPYB,GC,1980.9,6603
6035-BXTTY,EMEA,549.03,1830.1
6885-PKOAM,APJC,1867.14,6223.8
7520-HQWJU,USA,1352.595,4508.65
9639-BUJXT,GC,398.445,1328.15
5924-SNGKP,EMEA,259.5,865
0021-IKXGC,APJC,21.63,72.1
2034-GDRCN,USA,50.46,168.2
8966-SNIZF,GC,391.05,1303.5
6243-OZGFH,EMEA,299.055,996.85
4654-DLAMQ,APJC,1929.27,6430.9
0513-RBGPE,USA,683.625,2278.75
5160-UXJED,GC,204.42,681.4
4115-NZRKS,EMEA,172.305,574.35
0219-YTZUE,APJC,111.57,371.9
0623-IIHUG,USA,252.03,840.1
4572-DVCGN,GC,253.8,846
3351-NGXYI,EMEA,266.7,889
8984-EYLLL,APJC,2047.02,6823.4
9057-MSWCO,USA,241.53,805.1
9833-TGFHX,GC,1205.025,4016.75
9294-TDIPC,EMEA,25.125,83.75
5229-DTFYB,APJC,1187.745,3959.15
0104-PPXDV,USA,863.565,2878.55
5176-LMJXE,GC,283.71,945.7
3583-KRKMD,EMEA,411.915,1373.05
1010-DIAUQ,APJC,147.765,492.55
9069-LGEUL,USA,421.8,1406
7302-ZHMHP,GC,5.745,19.15
9571-EDEBV,EMEA,2088.855,6962.85
3520-FJGCV,APJC,2437.995,8126.65
6563-VRERX,USA,207.075,690.25
0259-GBZSH,GC,54.45,181.5
6122-EFVKN,EMEA,249.24,830.8
2805-EDJPQ,APJC,1682.52,5608.4
6862-CQUMB,USA,1094.04,3646.8
7156-MXBJE,GC,1098.675,3662.25
6158-HDPXZ,EMEA,7.605,25.35
9601-BRXPO,APJC,769.95,2566.5
2863-IMQDR,USA,1592.61,5308.7
5686-CMAWK,GC,423.075,1410.25
5651-CRHKQ,EMEA,1001.715,3339.05
6905-NIQIN,APJC,15.195,50.65
8204-YJCLA,USA,1419.705,4732.35
5167-ZFFMM,GC,27.255,90.85
6583-SZVGP,EMEA,1520.235,5067.45
4895-TMWIR,APJC,64.425,214.75
0533-BNWKF,USA,1462.41,4874.7
1708-PBBOA,GC,704.535,2348.45
8782-LKFPK,EMEA,1218.9,4063
5522-JBWMO,APJC,13.2,44
3597-MVHJT,USA,778.575,2595.25
9774-NRNAU,GC,692.865,2309.55
0224-RLWWD,EMEA,26.79,89.3
9967-ATRFS,APJC,110.265,367.55
3951-NJCVI,USA,1183.35,3944.5
2977-CEBSX,GC,1789.785,5965.95
0177-PXBAT,EMEA,1108.41,3694.7
6599-CEBNN,APJC,757.335,2524.45
2519-ERQOJ,USA,541.11,1803.7
5876-QMYLD,GC,124.53,415.1
2277-AXSDC,EMEA,187.245,624.15
9442-JTWDL,APJC,71.31,237.7
0979-PHULV,USA,2102.28,7007.6
3067-SVMTC,GC,1154.64,3848.8
5495-GPSRW,EMEA,125.82,419.4
7606-BPHHN,APJC,440.625,1468.75
4742-DRORA,USA,1743.6,5812
0111-KLBQG,GC,858.435,2861.45
4800-VHZKI,EMEA,5.97,19.9
7989-CHGTL,APJC,5.88,19.6
0334-GDDSO,USA,70.11,233.7
4163-NCJAK,GC,319.845,1066.15
5233-AOZUF,EMEA,644.715,2149.05
5973-EJGDP,APJC,1341.9,4473
1996-DBMUS,USA,1063.515,3545.05
7916-VCCPB,GC,358.725,1195.75
4686-GEFRM,EMEA,2057.67,6858.9
5249-QYHEX,APJC,307.41,1024.7
0578-SKVMF,USA,553.77,1845.9
5564-NEMQO,GC,22.59,75.3
2233-FAGXV,EMEA,39.675,132.25
5605-IYGFG,APJC,154.635,515.45
7663-ZTEGJ,USA,849.135,2830.45
3935-TBRZZ,GC,333.15,1110.5
8111-BKVDS,EMEA,134.79,449.3
2055-SIFSS,APJC,851.565,2838.55
2806-MLNTI,USA,1612.92,5376.4
8734-DKSTZ,GC,257.58,858.6
4360-PNRQB,EMEA,418.515,1395.05
6152-ONASV,APJC,1192.71,3975.7
9063-ZGTUY,USA,354.765,1182.55
7781-HVGMK,GC,1435.335,4784.45
2181-UAESM,EMEA,35.85,119.5
2957-LOLHO,APJC,155.67,518.9
6048-NJXHX,USA,269.835,899.45
2320-SLKMB,GC,355.14,1183.8
4980-URKXC,EMEA,216.015,720.05
4376-KFVRS,APJC,2540.46,8468.2
5886-VLQVU,USA,948.36,3161.2
3577-AMVUX,GC,16.515,55.05
0771-WLCLA,EMEA,564.765,1882.55
5628-RKIFK,APJC,1521.12,5070.4
0206-TBWLC,USA,1814.85,6049.5
2937-FTHUR,GC,350.01,1166.7
1910-FMXJM,EMEA,881.295,2937.65
7752-XUSCI,APJC,1918.935,6396.45
4110-PFEUZ,USA,20.865,69.55
0732-OCQOC,GC,381.075,1270.25
5168-MSWXT,EMEA,227.865,759.55
1090-ESELR,APJC,2283.465,7611.55
8592-PLTMQ,USA,492.825,1642.75
5760-WRAHC,GC,463.62,1545.4
8847-GEOOQ,EMEA,1074.72,3582.4
0256-LTHVJ,APJC,668.13,2227.1
4785-FCIFB,USA,425.37,1417.9
8313-NDOIA,GC,748.395,2494.65
5149-CUZUJ,EMEA,830.505,2768.35
0942-KOWSM,APJC,710.79,2369.3
4237-CLSMM,USA,11.4,38
1452-VOQCH,GC,22.53,75.1
4719-UMSIY,EMEA,30.27,100.9
6614-VBEGU,APJC,484.215,1614.05
0880-TKATG,USA,115.77,385.9
3811-VBYBZ,GC,201.975,673.25
1480-BKXGA,EMEA,2521.47,8404.9
2996-XAUVF,APJC,839.925,2799.75
9076-AXYIK,USA,1961.535,6538.45
5968-XQIVE,GC,1976.685,6588.95
8896-RAZCR,EMEA,260.43,868.1
4640-UHDOS,APJC,220.305,734.35
4933-IKULF,USA,99.18,330.6
3583-EKAPL,GC,16.5,55
1304-BCCFO,EMEA,169.32,564.4
4104-PVRPS,APJC,394.605,1315.35
9399-APLBT,USA,22.41,74.7
2359-KMGLI,GC,558.45,1861.5
3780-DDGSE,EMEA,824.16,2747.2
4431-EDMIQ,APJC,166.215,554.05
0306-JAELE,USA,136.02,453.4
6227-HWPWX,GC,298.44,994.8
0486-LGCCH,EMEA,67.725,225.75
0447-BEMNG,APJC,643.5,2145
4612-SSVHJ,USA,501.48,1671.6
5168-MQQCA,GC,2401.14,8003.8
5949-XIKAE,EMEA,204.015,680.05
7971-HLVXI,APJC,1839.255,6130.85
9094-AZPHK,USA,424.5,1415
3649-JPUGY,GC,1860.585,6201.95
4472-LVYGI,EMEA,5545,5545
8372-JUXUI,APJC,5545,74.35
3552-CTCYF,USA,5545,6597.25
6778-YSNIH,GC,5545,114.15
0388-EOPEX,EMEA,5545,139.4
5756-OZRIO,APJC,5545,3902.6
6579-JPICP,USA,5545,20.4
8205-OTCHB,GC,5545,903.6
4134-BSXLX,EMEA,5545,1785.65
0505-SPOOW,APJC,5545,1397.65
6235-VDHOM,USA,5545,131.05
7783-YKGDV,GC,371.535,1238.45
4374-YMUSQ,EMEA,1169.715,3899.05
4513-CXYIX,APJC,1702.8,5676
3957-HHLMR,USA,1362.945,4543.15
7803-XOCCZ,GC,1298.04,4326.8
5736-YEJAX,EMEA,1650.765,5502.55
5609-CEBID,APJC,534.72,1782.4
8981-FJGLA,USA,255.54,851.8
7218-HKQFK,GC,50.25,167.5
4636-QRJKY,EMEA,150.855,502.85
1135-LMECX,APJC,5.955,19.85
4332-MUOEZ,USA,545.49,1818.3
8535-SFUTN,GC,1890.045,6300.15
5956-VKDTT,EMEA,100.44,334.8
8677-HDZEE,APJC,1775.085,5916.95
2475-MROZF,USA,855.72,2852.4
9412-GHEEC,GC,1239.585,4131.95
3482-ABPKK,EMEA,463.89,1546.3
6705-LXORM,APJC,90.78,302.6
0257-ZESQC,USA,578.805,1929.35
7531-GQHME,GC,79.635,265.45
5174-ITUMV,EMEA,2096.835,6989.45
4109-CYRBD,APJC,432.6,1442
0913-XWSCN,USA,1414.02,4713.4
6825-UYPFK,GC,527.58,1758.6
8397-MVTAZ,EMEA,1044,3480
0750-EBAIU,APJC,1421.49,4738.3
8606-CIQUL,USA,2519.745,8399.15
3571-DPYUH,GC,1629.105,5430.35
7601-GNDYK,EMEA,206.085,686.95
0356-OBMAC,APJC,1711.89,5706.3
8067-NIOYM,USA,147.195,490.65
1403-GYAFU,GC,408.075,1360.25
4234-XTNEA,EMEA,52.335,174.45
1297-VQDRP,APJC,2213.94,7379.8
9282-IZGQK,USA,25.5,85
5348-CAGXB,GC,306.525,1021.75
0621-HJWXJ,EMEA,1508.715,5029.05
5844-QVTAT,APJC,586.62,1955.4
8905-IAZPF,USA,2023.26,6744.2
5394-MEITZ,GC,1484.01,4946.7
6859-QNXIQ,EMEA,2474.55,8248.5
2782-LFZVW,APJC,180.48,601.6
2866-IKBTM,USA,5.865,19.55
1342-JPNKI,GC,250.23,834.1
2817-NTQDO,EMEA,179.1,597
7129-AZJDE,APJC,794.16,2647.2
6986-IJDHX,USA,979.8,3266
2560-PPCHE,GC,2023.275,6744.25
4676-MQUEA,EMEA,1579.65,5265.5
8138-EALND,APJC,93.48,311.6
3580-HYCSP,USA,2390.07,7966.9
1352-HNSAW,GC,2466.12,8220.4
2075-PUEPR,EMEA,345.975,1153.25
1982-FEBTD,APJC,154.425,514.75
5301-GAUUY,USA,778.845,2596.15
5791-KAJFD,GC,1142.4,3808
2654-VBVPB,EMEA,5.97,19.9
1154-HYWWO,APJC,812.46,2708.2
2501-XWWTZ,USA,228.015,760.05
3716-UVSPD,GC,14.79,49.3
6815-ABQFQ,EMEA,1809.99,6033.3
7343-EOBEU,APJC,26.715,89.05
3701-SFMUH,USA,154.845,516.15
6103-LIANB,GC,1758.525,5861.75
7319-VENRZ,EMEA,133.785,445.95
5846-NEQVZ,APJC,1492.02,4973.4
6967-QIQRV,USA,500.175,1667.25
5781-RFZRP,GC,1607.325,5357.75
0939-YAPAF,EMEA,1058.28,3527.6
0308-IVGOK,APJC,126.78,422.6
7293-LSCDV,USA,330.975,1103.25
7025-WCBNE,GC,826.2,2754
5756-JYOJT,EMEA,209.175,697.25
4710-FDUIZ,APJC,1684.335,5614.45
6030-REHUX,USA,961.32,3204.4
9548-LIGTA,GC,1424.295,4747.65
5150-LJNSR,EMEA,924.63,3082.1
8270-RKSAP,APJC,179.37,597.9
6522-YRBXD,USA,1009.62,3365.4
2640-LYMOV,GC,11.64,38.8
1218-VKFPE,EMEA,70.065,233.55
3627-FHKBK,APJC,22.59,75.3
2865-TCHJW,USA,103.86,346.2
1423-BMPBQ,GC,5.7,19
2393-DIVAI,EMEA,18.51,61.7
5192-EBGOV,APJC,25.71,85.7
4568-KNYWR,USA,1002.735,3342.45
8752-IMQOS,GC,25.53,85.1
0742-LAFQK,EMEA,2226.63,7422.1
0795-LAFGP,APJC,2000.415,6668.05
0619-OLYUR,USA,2421.315,8071.05
5512-IDZEI,GC,352.44,1174.8
0459-SPZHJ,EMEA,1630.5,5435
0215-BQKGS,APJC,731.58,2438.6
9244-ZVAPM,USA,13.68,45.6
0719-SYFRB,GC,214.125,713.75
8208-EUMTE,EMEA,274.845,916.15
5172-MIGPM,APJC,71.16,237.2
1710-RCXUS,USA,1384.365,4614.55
0374-FIUCA,GC,424.335,1414.45
5839-SUYVZ,EMEA,351.15,1170.5
5173-ZXXXL,APJC,14.31,47.7
1096-ADRUX,USA,1457.775,4859.25
2001-MCUUW,GC,1470.96,4903.2
2731-GJRDG,EMEA,1082.4,3608
4723-BEGSG,APJC,1828.275,6094.25
6516-NKQBO,USA,925.47,3084.9
8672-OAUPW,GC,707.025,2356.75
8207-DMRVL,EMEA,2491.815,8306.05
3419-SNJJD,APJC,2035.92,6786.4
6543-CPZMK,USA,74.685,248.95
4765-OXPPD,GC,198.915,663.05
2804-ETQDK,EMEA,407.13,1357.1
6689-VRRTK,APJC,1458.105,4860.35
7138-GIRSH,USA,1025.46,3418.2
9396-ZSFLL,GC,189.42,631.4
6464-KEXXH,EMEA,55.89,186.3
7134-MJPDY,APJC,2093.025,6976.75
5240-CAOYT,USA,1465.455,4884.85
4059-IIEBK,GC,156.885,522.95
4881-JVQOD,EMEA,108.78,362.6
0516-UXRMT,APJC,1726.74,5755.8
4851-BQDNX,USA,1006.695,3355.65
5148-HKFIR,GC,122.085,406.95
1009-IRMNA,EMEA,41.28,137.6
3003-CMDUU,APJC,718.71,2395.7
5016-IBERQ,USA,590.43,1968.1
6797-UCJHZ,GC,2045.835,6819.45
2469-DTSGX,EMEA,2383.035,7943.45
4554-YGZIH,APJC,1364.175,4547.25
5099-BAILX,USA,1406.37,4687.9
9931-KGHOA,GC,742.185,2473.95
1775-KWJKQ,EMEA,1968.87,6562.9
7665-VIGUD,APJC,52.89,176.3
9411-TPQQV,USA,670.86,2236.2
7207-RMRDB,GC,2095.695,6985.65
7954-MLBUN,EMEA,932.97,3109.9
2077-DDHJK,APJC,1473.405,4911.35
4913-EHYUI,USA,1738.395,5794.65
0195-IESCP,GC,256.59,855.3
9574-BOSMD,EMEA,486.06,1620.2
4580-TMHJU,APJC,749.79,2499.3
0970-ETWGE,USA,26.865,89.55
4908-XAXAY,GC,1286.16,4287.2
8404-VLQFB,EMEA,118.455,394.85
1626-ERCMM,APJC,569.895,1899.65
